date_utc,equity_base,equity_x2
2023-11-08,100000.0000,100000.0000
2023-11-09,100000.0000,100000.0000
2023-11-10,100000.0000,100000.0000
2023-11-11,100000.0000,100000.0000
2023-11-12,100000.0000,100000.0000
2023-11-13,99041.6379,98894.7327
2023-11-14,97815.3727,97672.1408
2023-11-15,100918.2377,100765.7111
2023-11-16,98638.9262,98493.2274
2023-11-17,99244.7153,99097.2018
2023-11-18,99183.0887,99035.7597
2023-11-19,100247.9841,100097.4652
2023-11-20,100367.5790,100216.7019
2023-11-21,98071.5361,97927.5369
2023-11-22,100313.1883,100162.4742
2023-11-23,100159.7808,100009.5261
2023-11-24,100723.7143,100571.7704
2023-11-25,100813.9620,100661.7477
2023-11-26,100365.7633,100214.8917
2023-11-27,100090.4071,99940.3603
2023-11-28,100865.3399,100712.9718
2023-11-29,100913.4496,100760.9373
2023-11-30,100737.6886,100585.7028
2023-12-01,102026.9254,101871.0777
2023-12-02,103059.6356,102900.6944
2023-12-03,103761.5902,103600.5463
2023-12-04,106476.8745,106307.6969
2023-12-05,109277.4031,109099.8365
2023-12-06,108859.6143,108683.2992
2023-12-07,108201.1830,108026.8402
2023-12-08,109408.7666,109230.8064
2023-12-09,108793.5896,108617.4722
2023-12-10,108895.6865,108719.2633
2023-12-11,105484.6883,105318.4828
2023-12-12,105806.1233,105638.9549
2023-12-13,107657.6662,107484.9515
2023-12-14,107863.7563,107690.4243
2023-12-15,106408.5499,106239.5769
2023-12-16,106862.7875,106692.4538
2023-12-17,105647.7662,105481.0722
2023-12-18,107373.5677,107201.7040
2023-12-19,106860.0437,106689.7183
2023-12-20,108733.5097,108557.5723
2023-12-21,108992.9145,108816.2001
2023-12-22,109137.1494,108960.0029
2023-12-23,108778.2031,108602.1318
2023-12-24,107822.3850,107649.1769
2023-12-25,108608.6962,108433.1327
2023-12-26,107173.3416,107002.0777
2023-12-27,108410.6087,108235.6385
2023-12-28,107247.0864,107075.6016
2023-12-29,106578.8907,106409.4074
2023-12-30,106677.5175,106507.7388
2023-12-31,106870.2521,106699.8961
2024-01-01,109420.2796,109242.2849
2024-01-02,110452.3576,110271.2714
2024-01-03,107625.6559,107453.0370
2024-01-04,109382.0151,109204.1351
2024-01-05,109373.9587,109196.1028
2024-01-06,109136.1810,108959.0374
2024-01-07,109083.3236,108906.3383
2024-01-08,113147.8574,112958.6967
2024-01-09,112016.6817,111830.9095
2024-01-10,112748.3333,112560.3694
2024-01-11,112324.8956,112138.2001
2024-01-12,107541.5951,107369.2281
2024-01-13,107629.3680,107456.7380
2024-01-14,106128.8629,105960.7277
2024-01-15,106802.3742,106472.4539
2024-01-16,108420.2162,108082.8943
2024-01-17,107196.2445,106864.5223
2024-01-18,105925.8470,105599.9369
2024-01-19,106379.1936,106051.2094
2024-01-20,105951.5202,105625.4927
2024-01-21,105631.4605,105306.8972
2024-01-22,102575.2752,102264.6940
2024-01-23,101043.4385,100739.8656
2024-01-24,100881.2692,100578.4382
2024-01-25,100530.8295,100229.6018
2024-01-26,101580.0092,101273.9815
2024-01-27,101585.5718,101279.5186
2024-01-28,101349.3780,101044.4053
2024-01-29,102648.0160,102337.1021
2024-01-30,103191.6469,102878.2458
2024-01-31,101910.7661,101603.2252
2024-02-01,102363.0431,102053.4329
2024-02-02,102465.3081,102155.2301
2024-02-03,102196.3809,101887.5333
